t_sec,frame_delta,luma_mean,luma_spatial_std,sharpness,sharpness_dip_ratio,ssm_novelty,straddle_distance,pan_dx,pan_dy,audio_rms_dbfs,spectral_centroid_hz
0.0,1.1259,107.2645,34.7809,7.2098,0.9961,0.0000,0.0033,0.0000,0.0000,-53.5336,1264.0593
0.1,1.0337,107.5101,34.5610,7.2379,1.0005,0.0000,0.0050,0.0000,0.0000,-21.3441,3946.3825
0.2,1.5257,107.7840,34.3761,7.2616,1.0042,0.0000,0.0068,0.0000,0.0000,-17.4743,1076.3056
0.3,1.0829,108.1391,34.0691,7.2907,1.0084,0.0000,0.0090,0.0000,0.0000,-11.6672,695.5522
0.4,0.9560,108.3994,33.8635,7.2907,1.0086,0.0000,0.0109,0.0000,0.0000,-11.4402,938.0602
0.5,1.8362,108.5308,33.6597,7.2490,1.0041,0.0000,0.0131,0.0000,0.0000,-18.0825,2076.9705
0.6,1.1813,108.8978,33.3763,7.2807,1.0097,0.0000,0.0149,0.0000,0.0000,-18.7650,737.9202
0.7,1.6682,108.9854,33.1855,7.2904,1.0111,0.0000,0.0168,0.0000,0.0000,-22.0230,2138.5119
0.8,1.4182,109.2010,32.9267,7.2839,1.0103,0.0000,0.0189,0.0000,0.0000,-18.9315,2175.5082
0.9,1.1900,109.3600,32.7290,7.2612,1.0310,0.0000,0.0202,0.0000,0.0000,-9.4398,1016.1403
1.0,1.8544,109.5102,32.5167,7.2749,1.0581,0.0000,0.0218,0.0000,0.0000,-9.5229,834.6417
1.1,1.3166,109.7728,32.2085,7.2735,1.0585,0.0000,0.0230,0.0000,0.0000,-16.9065,605.1542
1.2,1.9751,109.9219,32.0101,7.2742,1.0591,0.0000,0.0235,0.0000,0.0000,-15.4032,1302.4579
1.3,1.3847,110.0405,31.6547,7.2313,1.0548,0.0000,0.0238,0.0000,0.0000,-15.3318,1224.7582
1.4,1.2253,110.2970,31.4635,7.2614,1.0611,0.0000,0.0242,0.0000,0.0000,-21.7637,1399.7427
1.5,2.0655,110.4316,31.2214,7.2286,1.0564,0.0000,0.0241,0.0000,0.0000,-19.8726,519.8087
1.6,1.5979,110.7111,30.7924,7.2104,1.0539,0.0476,0.0234,0.0000,0.0000,-26.5395,1226.1942
1.7,1.9332,110.7686,30.4770,6.6046,0.9654,0.0480,0.0226,0.0000,0.0000,-36.5240,954.8187
1.8,1.5548,110.8989,30.1530,6.5960,0.9642,0.0488,0.0229,0.0000,0.0000,-43.7826,671.2526
1.9,1.3478,111.0755,30.0309,6.7837,0.9916,0.0493,0.0225,0.0000,0.0000,-28.4015,1406.8632
2.0,2.2205,111.1074,29.8394,6.7840,0.9917,0.0504,0.0217,0.0000,0.0000,-16.3644,1176.4805
2.1,1.3545,111.1199,29.5574,6.8145,0.9981,0.0518,0.0214,0.0000,0.0000,-18.4431,896.6760
2.2,2.1708,111.2401,29.4038,6.8412,1.0039,0.0519,0.0225,0.0000,0.0000,-20.5719,1361.3687
2.3,1.6384,111.3382,29.1945,6.8754,1.0112,0.0532,0.0239,0.0000,0.0000,-36.1991,3769.9175
2.4,1.5012,111.3146,29.0866,6.8434,1.0088,0.0556,0.0242,0.0000,0.0000,-33.4053,2640.7435
2.5,2.3694,111.3064,29.0005,6.8681,1.0124,0.0592,0.0261,0.0000,0.0000,-35.2349,999.5886
2.6,1.5010,111.4193,28.9291,6.8411,1.0169,0.0631,0.0289,0.0000,0.0000,-39.0282,578.3113
2.7,2.4311,111.4496,28.8595,6.8415,1.0263,0.0672,0.0320,0.0000,0.0000,-38.2489,628.6611
2.8,1.8363,111.4826,28.7431,6.6710,1.0016,0.0719,0.0347,0.0000,0.0000,-37.3093,568.9295
2.9,1.6483,111.4488,28.6792,6.6592,1.0024,0.0760,0.0384,0.0000,0.0000,-35.9352,601.1075
3.0,2.7930,111.4658,28.6363,6.6608,1.0053,0.0797,0.0425,0.0000,0.0000,-36.6005,599.8177
3.1,1.7674,111.5700,28.5811,6.6234,1.0010,0.0838,0.0458,0.0000,0.0000,-35.7899,570.3275
3.2,2.7199,111.5733,28.5806,6.6277,1.0031,0.0877,0.0480,0.0000,0.0000,-35.1965,617.8487
3.3,2.0529,111.7573,28.4934,6.6105,1.0016,0.0922,0.0508,0.0000,0.0000,-35.1142,604.7070
3.4,2.1201,111.8643,28.4321,6.5694,0.9975,0.0965,0.0542,0.0000,0.0000,-33.6618,539.5425
3.5,3.5844,112.0469,28.3272,6.5751,1.0004,0.1013,0.0572,0.0000,0.0000,-32.2939,550.4603
3.6,2.5279,112.4463,28.1934,6.4981,0.9945,0.1060,0.0598,0.0000,0.0000,-31.9819,470.7926
3.7,3.9014,112.5801,28.1910,6.4242,0.9943,0.1099,0.0621,0.0000,0.0000,-30.1434,410.9736
3.8,3.2044,113.0369,28.0937,6.3482,0.9940,0.1125,0.0624,0.0000,0.0000,-28.6559,459.7673
3.9,3.0030,113.4137,28.0790,6.2600,0.9809,0.1131,0.0627,0.0000,0.0000,-29.8343,505.7692
4.0,4.6065,113.8455,28.0604,6.2069,0.9725,0.1119,0.0610,0.0000,0.0000,-29.6891,491.7843
4.1,3.2168,114.4665,28.0912,6.0710,0.9513,0.1107,0.0602,0.0000,0.0000,-28.9722,495.6034
4.2,4.5582,114.7422,28.1606,6.0022,0.9405,0.1080,0.0598,0.0000,0.0000,-28.3990,495.1094
4.3,3.5482,115.1104,28.3400,5.9268,0.9286,0.1052,0.0608,0.0000,0.0000,-28.9759,466.1241
4.4,3.3662,115.3353,28.4290,5.8414,0.9153,0.1011,0.0618,0.0000,0.0000,-28.5372,511.4615
4.5,5.1739,115.6168,28.3943,5.7973,0.9106,0.0963,0.0617,0.0000,0.0000,-28.5262,534.2642
4.6,3.7416,115.9586,28.1244,5.7191,0.9009,0.0910,0.0606,0.0000,0.0000,-29.7765,546.2772
4.7,5.4470,116.3408,27.7334,5.6574,0.8974,0.0837,0.0579,0.0000,0.0000,-29.4821,550.9883
